id,question,answer
1,What is the time complexity of binary search?,O(log n)
2,What does HTTP stand for?,Hypertext Transfer Protocol
3,In Big-O notation, what is the time complexity of linear search?,O(n)
4,What does CPU stand for?,Central Processing Unit
5,What is the main data structure used in a stack?,Last in first out (LIFO) structure
6,What does RAM stand for?,Random Access Memory
7,What is the main purpose of a DNS server?,To translate domain names into IP addresses
8,Which data structure typically uses first in first out behaviour?,Queue
9,Which sorting algorithm repeatedly divides an array into halves then merges them in order?,Merge sort
10,What SQL command is used to retrieve data from a table?,SELECT
11,In computer networking what does TCP stand for?,Transmission Control Protocol
12,What is the binary representation of the decimal number 5?,101
13,What does HTML stand for?,HyperText Markup Language
14,Which component of the CPU performs arithmetic and logical operations?,Arithmetic Logic Unit (ALU)
15,In programming what does the acronym OOP stand for?,Object Oriented Programming
16,What is the time complexity of accessing an element in an array by index?,O(1)
17,What protocol is used to securely transfer web pages over the internet?,HTTPS
18,Which layer of the OSI model is responsible for routing packets between networks?,Network layer
19,In many languages what is a variable called when it is declared but not given a value?,Uninitialised variable
20,In Git which command creates a local copy of a remote repository?,git clone
